"rid","us_area_m2","var_area_m2"
701288865,110591.630513756,110591.630514
701288867,641524.649195669,641524.649196
701288875,791387.121855264,791387.121855
701288879,117880.467865445,117880.467865
701288881,762007.476295462,762007.476296
701288895,942169.985152886,942169.985153
701288897,196365.737242227,196365.737242
701288919,809715.338237513,809715.338238
701288921,791387.121855264,791387.121855
701288933,1656525.18181345,1656525.181813
701288935,354982.279130009,354982.27913
701288944,152585.408700261,152585.4087
701288946,275367.391308218,275367.391308
701288956,167308.880957527,167308.880958
701288958,283176.684353787,283176.684354
701288963,1869755.28618532,1869755.286186
701288965,462433.55369135,462433.553691
701288971,758837.013712909,758837.013713
701288973,61280.5193439494,61280.519344
701288975,1496.67410259321,1496.674103
701288977,523019.493467171,523019.493468
701288983,133872.371940939,133872.371941
701288985,185882.039385863,185882.039386
701288992,27803.0926417904,27803.092642
701288994,2495634.15394974,2495634.15395
701288996,480301.533597166,480301.533597
701288998,2375169.48566691,2375169.485666
701289005,1020011.85082082,1020011.850821
701289007,141527.278352137,141527.278352
701289018,51700.2502492666,51700.250249
701289020,72720.0231344232,72720.023134
701289021,27803.0926417904,27803.092642
701289028,173015.464598928,173015.464599
701289031,452081.274907304,452081.274907
701289036,1851878.35724066,1851878.357241
701289038,71573.3973121303,71573.397312
701289045,40065.3058119249,40065.305812
701289047,1155701.13857954,1155701.13858
701289052,452081.274907304,452081.274907
701289054,661335.978176956,661335.978177
701289065,27803.0926417904,27803.092642
701289069,5708211.62846262,5708211.628466
701289073,755262.256961923,755262.256963
701289075,4851312.75648776,4851312.756491
701289083,2757738.42035031,2757738.420352
701289085,27803.0926417904,27803.092642
701289088,40065.3058119249,40065.305812
701289089,2728375.16832442,2728375.168326
701289094,755262.256961923,755262.256963
701289096,1592433.01489617,1592433.014897
701289100,40065.3058119249,40065.305812
701289103,661335.978176956,661335.978177
701289105,5708211.62846262,5708211.628466
701289106,2057880.79792209,2057880.797924
701289107,2728375.16832442,2728375.168326
701289109,40065.3058119249,40065.305812
701289111,40065.3058119249,40065.305812
701289118,4111926.29147137,4111926.29147
701289120,465820.1952783,465820.195278
701289130,2057880.79792209,2057880.797924
701289136,48646.5707334094,48646.570733
701289139,6369547.60663958,6369547.606643
701289141,2514264.13809285,2514264.138093
701289143,690808.491360094,690808.49136
701289151,1984952.66275981,1984952.662762
701289154,40065.3058119249,40065.305812
701289157,2614808.51974566,2614808.519746
701289159,87912.0593288457,87912.059329
701289160,48646.5707334094,48646.570733
701289164,173015.464598928,173015.464599
701289165,1984952.66275981,1984952.662762
701289175,463165.281281875,463165.281282
701289176,180611.09855429,180611.098554
701289178,48646.5707334094,48646.570733
701289181,463165.281281875,463165.281282
701289190,463165.281281875,463165.281282
701289191,1984952.66275981,1984952.662762
701289193,646108.757415918,646108.757416
701289196,731555.651949259,731555.651949
701289200,731555.651949259,731555.651949
701289217,6369547.60663958,6369547.606643
701289219,1984952.66275981,1984952.662762
701289224,1155701.13857954,1155701.13858
701289226,731555.651949259,731555.651949
701289232,6369547.60663958,6369547.606643
701289246,5003977.28579727,5003977.285796
701289249,731555.651949259,731555.651949
701289250,48646.5707334094,48646.570733
701289262,340221.179163864,340221.179164
701289263,205445.201178551,205445.201179
701289266,731555.651949259,731555.651949
701289271,7118317.61441366,7118317.614417
701289272,731555.651949259,731555.651949
701289277,6386761.96246441,6386761.962468
701289283,6369547.60663958,6369547.606643
701289285,6369547.60663958,6369547.606643
701289288,1135598.20271619,1135598.202716
701289290,212633.49438514,212633.494385
701289293,2718603.08163346,2718603.081634
701289295,2718603.08163346,2718603.081634
701289298,5003977.28579727,5003977.285796
701289306,302660.883830967,302660.883831
701289312,1758734.62952594,1758734.629528
701289317,1243891.34608893,1243891.346089
701289319,1356677.41072332,1356677.410723
701289320,340221.179163864,340221.179164
701289324,3443095.42858732,3443095.428587
701289326,2718603.08163346,2718603.081634
701289335,404801.309146533,404801.309146
701289337,150135.731416028,150135.731416
701289340,302660.883830967,302660.883831
701289342,7938863.27985321,7938863.279857
701289343,1164160.36002485,1164160.360027
701289344,789335.35084326,789335.350843
701289348,340221.179163864,340221.179164
701289351,789335.35084326,789335.350843
701289355,1242475.12180861,1242475.121809
701289363,7938863.27985321,7938863.279857
701289375,7938863.27985321,7938863.279857
701289381,340221.179163864,340221.179164
701289383,363417.088799444,363417.088799
701289387,5003977.28579727,5003977.285796
701289390,340221.179163864,340221.179164
701289392,7938863.27985321,7938863.279857
701289399,5003977.28579727,5003977.285796
701289402,789335.35084326,789335.350843
701289404,302660.883830967,302660.883831
701289406,23971.6855892166,23971.685589
701289408,2701085.12059851,2701085.120598
701289415,941389.695347723,941389.695349
701289416,8434022.66130876,8434022.661313
701289418,13584574.0413067,13584574.04131
701289424,13584574.0413067,13584574.04131
701289426,213650.637932544,213650.637933
701289427,1242475.12180861,1242475.121809
701289430,883193.357625483,883193.357625
701289432,7045592.84612453,7045592.846125
701289433,136902.383722391,136902.383722
701289435,1104076.39684417,1104076.396844
701289440,1133333.91787825,1133333.917878
701289446,1242475.12180861,1242475.121809
701289448,13584574.0413067,13584574.04131
701289455,14841087.5395355,14841087.539539
701289459,119001.215365639,119001.215366
701289461,14841087.5395355,14841087.539539
701289469,115646.140851554,115646.140852
701289476,14083174.8894636,14083174.889462
701289480,742248.183815095,742248.183815
701289488,29352639.8920266,29352639.892029
701289490,32646306.8790515,32646306.879054
701289491,455877.516006985,455877.516007
701289496,32646306.8790515,32646306.879054
701289500,32646306.8790515,32646306.879054
701289501,624016.62443158,624016.624432
701289509,1659679.16234308,1659679.162343
701289511,13154716.0311692,13154716.031168
701289513,392276.395194376,392276.395194
701289515,455877.516006985,455877.516007
701289520,3231092.16836961,3231092.168369
701289522,1625525.90771122,1625525.907711
701289525,1133333.91787825,1133333.917878
701289529,32646306.8790515,32646306.879054
701289533,409639.341460817,409639.341461
701289541,1133333.91787825,1133333.917878
701289542,32675106.2709538,32675106.270956
701289543,32646306.8790515,32646306.879054
701289545,33808440.188832,33808440.188834
701289552,32646306.8790515,32646306.879054
701289553,12181736.5354445,12181736.535444
701289563,1237743.07958097,1237743.079581
701289567,253967.739759564,253967.73976
701289569,455877.516006985,455877.516007
701289571,34213350.6025412,34213350.602543
701289575,360960.849414202,360960.849414
701289577,34213350.6025412,34213350.602543
701289585,756402.433091994,756402.433092
701289591,4856619.25245844,4856619.252458
701289596,4856619.25245844,4856619.252458
701289607,8238165.74568955,8238165.74569
701289611,115646.140851554,115646.140852
701289616,115646.140851554,115646.140852
701289621,8238165.74568955,8238165.74569
701289623,38783854.7039013,38783854.703905
701289624,47918184.4647011,47918184.464705
701289625,2265446.49870562,2265446.498706
701289629,38526169.3932979,38526169.393301
701289635,38526169.3932979,38526169.393301
701289641,37234336.3569094,37234336.356912
701289647,38526169.3932979,38526169.393301
