"rid","us_elevation_mean"
701304541,1366.20330867908
701304744,1375.36765445243
701304812,1368.16946244646
701304986,1371.12306646909
701305163,1371.12306646909
701305244,1371.12306646909
701305463,1390.91607405807
701306086,1339.80314951597
701306205,1339.80314951597
701306237,1337.77483903916
701306280,1330.73956313309
701306314,NA
701306342,NA
701306365,NA
701306455,NA
701306533,NA
701306603,NA
701306721,NA
701306784,NA
701306885,NA
701306970,NA
701307032,NA
701307209,NA
701307455,NA
701307771,NA
701308174,NA
701308428,NA
701308495,NA
701308656,NA
701308803,NA
701309184,NA
701309209,NA
701309241,NA
701309401,NA
701309548,NA
701309587,NA
701309588,NA
701309692,NA
701309713,NA
701309807,NA
701309847,NA
701309919,NA
701309941,NA
701310053,NA
701310073,NA
701310247,NA
701310346,NA
701310419,NA
701310501,NA
701310509,NA
701310529,NA
701310618,NA
701310838,NA
701310956,NA
701311061,NA
701311071,NA
701311285,NA
701746017,NA
701746606,NA
701746689,NA
701746883,NA
701746925,NA
701747059,NA
701747264,NA
701747272,NA
701747515,NA
701747632,NA
701747850,NA
701747977,NA
701748001,NA
701748065,NA
701748263,NA
701748457,NA
701748617,NA
701748772,NA
701748855,NA
701749372,NA
701749374,NA
701749377,NA
701749886,NA
701750020,NA
701750405,NA
701750615,NA
701750719,NA
701750743,NA
701750803,NA
701751418,NA
701751480,NA
701751587,NA
701751687,NA
701751738,NA
701751806,NA
701752421,NA
701752705,NA
701752743,NA
701752834,NA
701752970,NA
701753341,NA
701753529,NA
701753543,NA
701753590,NA
701753595,NA
701753597,NA
701753625,NA
701753763,NA
701753834,NA
701753946,NA
701754023,NA
701754206,NA
701754372,NA
701754514,NA
701754546,NA
701754547,NA
701754882,NA
701754988,NA
701755180,NA
701755304,NA
701755608,NA
701755736,NA
701755815,NA
701755920,NA
701756015,NA
701756037,NA
701756101,NA
701756116,NA
701756195,NA
701756571,NA
701756795,NA
701756829,NA
701756992,NA
701757335,NA
701757381,NA
701757388,NA
701757607,NA
701757659,NA
701757784,NA
701757979,NA
701758143,NA
701758481,NA
701758931,NA
701759064,NA
701759082,NA
701759248,NA
701759307,NA
701759353,NA
701759548,NA
701759870,NA
701760069,NA
701760082,NA
701760389,NA
701760449,NA
701760512,NA
701760520,NA
701760542,NA
701760578,NA
701760742,NA
701760747,NA
701760778,NA
701760807,NA
701760818,NA
701760819,NA
701761103,NA
701761298,NA
701761377,NA
701761393,NA
701761499,NA
701761555,NA
701761603,NA
701761627,NA
701761643,NA
701761649,NA
701761654,NA
701761824,NA
701761879,NA
701761910,NA
701761916,NA
701761921,NA
701762186,NA
701762254,NA
701762313,NA
701762323,NA
701762380,NA
701762575,NA
701762593,NA
701762609,NA
701762674,NA
701762676,NA
701762695,NA
701762732,NA
701762789,NA
701762893,NA
701763409,NA
701763517,NA
701763608,NA
701763850,NA
701763889,NA
701764031,NA
701764571,NA
701764650,NA
701764876,NA
701765213,NA
701765249,NA
701765314,NA
701765466,NA
701765569,NA
701765590,NA
701765677,NA
701765714,NA
701765761,NA
701765797,NA
701765801,NA
701765910,NA
701765978,NA
701766021,NA
701766041,NA
701766252,NA
701766432,NA
701766524,NA
701766626,NA
701766718,NA
701766857,NA
701766897,NA
701767050,NA
701767173,NA
701767221,NA
701767717,NA
701767747,NA
701767788,NA
701767853,NA
701767869,NA
701767972,NA
701768024,NA
701768128,NA
701768237,NA
701768350,NA
701768359,NA
701768404,NA
701768453,NA
701768672,NA
701768680,NA
701768767,NA
701769108,NA
701769201,NA
701769292,NA
701769298,NA
701769300,NA
701769378,NA
701769398,NA
701769561,NA
701769813,NA
701769820,NA
701769957,NA
701770088,NA
701770259,NA
701770316,NA
701770594,NA
701770690,NA
701770731,NA
701770735,NA
701770787,NA
701770795,NA
701770820,NA
701770869,NA
701770886,NA
701770911,NA
701770935,NA
701770944,NA
701770945,NA
701771082,NA
701771190,NA
701771228,NA
701771258,NA
701771348,NA
701771356,NA
701771373,NA
701771411,NA
701771504,NA
701771513,NA
701771573,NA
701771576,NA
701771696,NA
701771730,NA
701771763,NA
701771767,NA
701771828,NA
701771853,NA
701771861,NA
701771877,NA
701771883,NA
701771903,NA
701771932,NA
701771942,NA
701771973,NA
701771990,NA
701772012,NA
701772018,NA
701772026,NA
701772033,NA
701772066,NA
701772070,NA
701772113,NA
701772143,NA
701772154,NA
701772185,NA
701772190,NA
701772202,NA
701772205,NA
701772231,NA
701772254,NA
701772279,NA
701772285,NA
701772289,NA
701772329,NA
701772344,NA
701772370,NA
701772381,NA
701309684,1359.83373484505
701309686,1356.8093144113
701309702,1363.48932053429
701309706,1322.43264008436
701309707,1320.61738018054
701309708,1356.8093144113
701309766,1326.80161194304
701309771,1347.93520913414
701309782,1331.85195847822
701309785,1342.85481235336
701309788,1342.39676298392
701309796,1333.0212074133
701309809,1333.88362535854
701309841,1335.39021659259
701309852,1332.68734036395
701309900,1339.03173764788
701309923,1331.04300334027
701309936,1331.04300334027
701309996,1315.28128979785
701310028,1319.55315264532
701305667,1272.03893551683
701305685,1143.27701415139
701305705,1223.12263118174
701305710,1143.27701415139
701305769,NA
701305928,NA
701305963,NA
701306031,NA
701306069,NA
701306108,NA
701306151,NA
701306159,NA
701306176,NA
701306220,NA
701306239,NA
701306279,NA
701289848,1435.03128748499
701289855,1435.03128748499
701289861,1435.03128748499
701289869,1431.21893780425
701289878,1416.01484986736
701289904,1416.01484986736
701289943,1416.01484986736
701290007,1408.03453761142
701290028,1408.03453761142
701290046,1406.58387954437
701290062,1405.60233903674
701290103,1404.76567088825
701290109,1402.69037501183
701290124,1402.60006208943
701290166,1402.49010068435
701290200,1402.46600750793
701290221,1402.22810967909
701290235,NA
701290250,NA
701290291,NA
701290340,NA
701290620,NA
701290635,NA
701290711,NA
701290767,NA
701290821,NA
701290888,NA
701291196,NA
701291388,NA
701291450,NA
701291553,NA
701291631,NA
701291874,NA
701291980,NA
701292074,NA
701292086,NA
701292252,NA
701292289,NA
701292733,NA
701292926,NA
701292986,NA
701293015,NA
701293264,NA
701293531,NA
701293566,NA
701293659,NA
701293857,NA
701294013,NA
701294127,NA
701294398,NA
701295036,NA
701295272,NA
701295283,NA
701295626,NA
701295699,NA
701295727,NA
701295761,NA
701295837,NA
701295896,NA
701295934,NA
701296585,NA
701296673,NA
701297164,NA
701297386,NA
701297699,NA
701297762,NA
701297875,NA
701298382,NA
701298502,NA
701298690,NA
701298713,NA
701298714,NA
701298729,NA
701298737,NA
701298743,NA
701298779,NA
701298818,NA
701299005,NA
701299035,NA
701299093,NA
701299109,NA
701299131,NA
701299223,NA
701299251,NA
701299431,NA
701299681,NA
701299758,NA
701299786,NA
701299795,NA
701299799,NA
701299836,NA
701299889,NA
701299975,NA
701300102,NA
701300177,NA
701300231,NA
701300252,NA
701300275,NA
701300329,NA
701300353,NA
701300381,NA
701300400,NA
701300411,NA
701300417,NA
701300457,NA
701300475,NA
701300494,NA
701300508,NA
701300544,NA
701300584,NA
701300693,NA
701300753,NA
701300785,NA
701300906,NA
701300967,NA
701300975,NA
701300989,NA
701301004,NA
701301035,NA
701301051,NA
701301206,NA
701301207,NA
