"rid","us_private_land"
701288865,0
701288867,0
701288875,0
701288879,0
701288881,0
701288895,0
701288897,0
701288919,0
701288921,0
701288933,0
701288935,0
701288944,0
701288946,0
701288956,0
701288958,0
701288963,0
701288965,0
701288971,0
701288973,0
701288975,0
701288977,0
701288983,0
701288985,0
701288992,0
701288994,0
701288996,0
701288998,0
701289005,0
701289007,0
701289018,0
701289020,0
701289021,0
701289028,0
701289031,0
701289036,0
701289038,0
701289045,0.840455701700896
701289047,0
701289052,0
701289054,0
701289065,0
701289069,0.00594193516408198
701289073,0
701289075,0.00699147325718307
701289083,0
701289085,0
701289088,0.840455701700896
701289089,0
701289094,0
701289096,0
701289100,0.840455701700896
701289103,0
701289105,0.00594193516408198
701289106,0.0164819184058727
701289107,0
701289109,0.840455701700896
701289111,0.840455701700896
701289118,0
701289120,0
701289130,0.0164819184058727
701289136,0
701289139,0.00532499723587748
701289141,0
701289143,0
701289151,0.0170874721778781
701289154,0.840455701700896
701289157,0
701289159,0
701289160,0
701289164,0
701289165,0.0170874721778781
701289175,0.298460504448868
701289176,0.214509710210306
701289178,0
701289181,0.298460504448868
701289190,0.298460504448868
701289191,0.0170874721778781
701289193,0.277988201433408
701289196,0.362320358282506
701289200,0.362320358282506
701289217,0.00532499723587748
701289219,0.0170874721778781
701289224,0
701289226,0.362320358282506
701289232,0.00532499723587748
701289246,0
701289249,0.362320358282506
701289250,0
701289262,0.000366956285007197
701289263,0
701289266,0.362320358282506
701289271,0.0422091282619881
701289272,0.362320358282506
701289277,0.00554278921107446
701289283,0.00532499723587748
701289285,0.00532499723587748
701289288,0
701289290,0
701289293,0
701289295,0
701289298,0
701289306,0
701289312,0.0192853559775773
701289317,0
701289319,0
701289320,0.000366956285007197
701289324,0
701289326,0
701289335,0
701289337,0
701289340,0
701289342,0.0416274849998629
701289343,0
701289344,0
701289348,0.000366956285007197
701289351,0
701289355,0
701289363,0.0416274849998629
701289375,0.0416274849998629
701289381,0.000366956285007197
701289383,0
701289387,0
701289390,0.000366956285007197
701289392,0.0416274849998629
701289399,0
701289402,0
701289404,0
701289406,0
701289408,0
701289415,0
701289416,0.0391983483650164
701289418,0.0243364096213033
701289424,0.0243364096213033
701289426,0
701289427,0
701289430,0
701289432,0
701289433,0
701289435,0
701289440,0
701289446,0
701289448,0.0243364096213033
701289455,0.0222759792717413
701289459,0
701289461,0.0222759792717413
701289469,0
701289476,0
701289480,0
701289488,0.0112630332270253
701289490,0.0101267123300767
701289491,0
701289496,0.0101267123300767
701289500,0.0101267123300767
701289501,0
701289509,0
701289511,0
701289513,0
701289515,0
701289520,0
701289522,0
701289525,0
701289529,0.0101267123300767
701289533,0
701289541,0
701289542,0.0101177867842916
701289543,0.0101267123300767
701289545,0.00977861612537309
701289552,0.0101267123300767
701289553,0
701289563,0
701289567,0
701289569,0
701289571,0.00966288751560357
701289575,0
701289577,0.00966288751560357
701289585,0
701289591,0
701289596,0
701289607,0
701289611,0
701289616,0
701289621,0
701289623,0.00852415936802984
701289624,0.00689925467951761
701289625,0
701289629,0.00858117387764293
701289635,0.00858117387764293
701289641,0.00887889487903514
701289647,0.00858117387764293
701289652,0.00887889487903514
701289657,0
701289659,0
701289664,0
701289666,0
701289672,0
701289675,0.0060602846244145
701289680,0.0060602846244145
701289685,0.0060602846244145
701289687,0
701289688,0
701289691,0
701289692,0
701289693,0
701289700,0.00620030574265632
701289702,0
701289707,0
701289711,0
701289712,0
701289717,0
701289719,0
701289720,0
701289726,0
701289728,0
701289730,0
701289731,0
701289741,0
701289743,0
701289745,0
701289747,0
701289753,0
701289767,0.00598032358510423
701289773,0
701289775,0
701289778,0
701289780,0
701289782,0
701289785,0.00598032358510423
701289786,0
701289789,0
701289793,0
701289794,0
701289795,0
701289797,0
701289804,0
701289806,0.0053844492904777
701289808,0
701289815,0
701289819,0
701289822,0
701289826,0
701289827,0
701289828,0
701289831,0
701289832,0
701289841,0
701289843,0
701289848,0.00514566872842105
701289853,0
701289855,0.00514566872842105
701289858,0
701289861,0.00514566872842105
701289867,0
701289869,0.00506097539189767
701289870,0
701289872,0
701289876,0
701289878,0.00463563178028104
701289886,0
701289888,0
701289894,0
701289897,0
701289904,0.00463563178028104
701289908,0
701289913,0
701289920,0
701289925,0
701289928,0
701289934,0
701289937,0
701289938,0
701289943,0.00463563178028104
701289945,0
701289946,0
701289950,0
701289954,0
701289955,0
701289957,0
701289958,0
701289963,0
701289964,0
701289967,0
701289969,0
701289971,0
701289974,0
701289975,0
701289976,0
701289978,0
701289988,0
701289996,0
701289999,0
701290002,0
701290004,0
701290007,0.00446078047254737
701290015,0
701290017,0
701290024,0
701290027,0
701290028,0.00446078047254737
701290030,0
701290032,0
701290035,0
701290039,0
701290041,0
701290046,0.00443171086039023
701290049,0
701290052,0
701290056,0
701290058,0
701290062,0.00441369311393895
701290063,0
701290065,0
701290067,0
701290069,0
701290071,0
701290075,0
701290077,0
701290079,0
701290087,0
701290092,0
701290098,0
701290100,0
701290101,0
701290102,0
701290103,0.0043992031352199
701290109,0.00435557107839138
701290113,0
701290115,0
701290117,0
701290121,0
701290122,0
701290124,0.00435402975955903
701290126,0
701290127,0
701290129,0
701290130,0
701290132,0
701290136,0
701290138,0
701290139,0
701290140,0
701290150,0
701290166,0.00435216643844715
701290167,0
701290169,0
701290171,0
701290174,0
701290178,0
701290183,0
701290190,0
701290200,0.00435176511897452
701290209,0
701290212,0
701290215,0
701290218,0
701290219,0
701290221,0.00434786787867276
701290225,0
701290227,0
701290228,0
701290231,0
701290233,0
701290235,0.00394780344944565
701290240,0
701290248,0
701290250,0.00394780344944565
701290256,0
701290261,0
701290265,0
701290268,0
701290272,0
701290280,0
701290282,0
701290287,0
701290289,0
701290291,0.00392680497584011
701290292,0
701290293,0
701290296,0
701290298,0
701290301,0
701290304,0
701290307,0
701290308,0
701290310,0
701290311,0
701290317,0
701290323,0
701290326,0
701290327,0
701290328,0
701290330,0
701290331,0
701290332,0
701290334,0
701290340,0.00386066542769964
701290344,0
701290347,0
701290354,0
701290356,0
701290357,0
701290359,0
701290366,0
701290369,0
701290374,0
701290375,0
701290376,0
701290377,0
701290384,0
701290385,0
701290387,0
701290390,0
701290396,0
701290403,0
701290404,0
701290406,0
701290411,0
701290423,0
701290425,0
701290436,0
701290438,0
701290440,0
701290449,0
701290451,0
701290452,0
701290454,0
701290457,0
701290462,0
701290464,0
701290471,0
701290475,0
701290476,0
701290485,0
701290486,0
701290489,0
701290490,0
701290492,0
701290496,0
701290499,0
701290506,0
701290513,0
701290515,0
701290518,0
701290520,0
701290522,0
701290531,0
701290535,0
701290541,0
701290542,0
701290544,0
701290545,0
701290549,0
701290551,0
701290555,0
701290557,0
701290560,0
701290563,0
701290567,0
701290571,0
701290579,0
701290580,0
701290582,0
701290583,0
701290588,0
701290597,0
701290598,0
701290600,0
701290607,0
701290617,0
701290619,0
701290620,0.0038265338681621
701290622,0
701290623,0
701290627,0
701290633,0
701290635,0.00380489906935136
701290637,0
701290640,0
701290647,0
701290649,0
701290652,0
701290654,0
701290656,0
701290658,0
701290661,0
701290679,0
701290691,0
701290695,0
701290696,0
701290703,0
701290706,0
701290710,0
701290711,0.00378617083283184
701290728,0
701290734,0
701290738,0
701290740,0
701290755,0
701290757,0
701290758,0
701290765,0
701290767,0.00378617083283184
701290771,0
701290784,0
701290785,0
701290787,0
701290789,0
701290791,0
701290793,0
701290795,0
701290799,0
701290802,0
701290804,0
701290808,0
701290809,0
701290817,0
701290819,0
701290821,0.00373952902163577
701290831,0
701290834,0
701290835,0
701290837,0
701290838,0
701290844,0
701290845,0
701290847,0
701290856,0
701290861,0
701290865,0
701290867,0
701290868,0
701290875,0
701290880,0
701290882,0
701290888,0.00373952902163577
701290890,0
701290892,0
701290901,0
701290905,0
701290908,0
701290911,0
701290913,0
701290914,0
701290916,0
701290919,0
701290923,0
701290934,0
701290947,0
701290950,0
701290956,0
701290959,0
701290961,0
701290963,0
701290964,0
701290966,0
701290969,0
701290971,0
701290976,0
701290977,0
701290981,0
701290985,0
701290992,0
701290996,0
701290998,0
701291001,0
701291005,0
701291007,0
701291013,0
701291017,0
701291028,0
701291029,0
701291030,0
701291034,0
701291038,0
701291039,0
701291040,0
701291041,0
701291044,0
701291048,0
701291052,0
701291054,0
701291055,0
701291062,0
701291069,0
701291077,0
701291079,0
701291081,0
701291089,0
701291094,0
701291097,0
701291105,0
701291110,0
701291113,0
701291116,0
701291117,0
701291123,0
701291125,0
701291131,0
701291133,0
701291138,0
701291143,0
701291144,0
701291146,0
701291148,0
701291152,0
701291155,0
701291156,0
701291158,0
701291173,0
701291178,0
701291181,0
701291183,0
701291193,0
701291195,0
701291196,0.00373952902163577
701291198,0
701291199,0
701291200,0
701291207,0
701291208,0
701291212,0
701291217,0
701291219,0
701291225,0
701291229,0
701291230,0
701291236,0
701291237,0
701291239,0
701291247,0
701291251,0
701291253,0
701291257,0
701291259,0
701291266,0
701291268,0
701291274,0
701291277,0
701291287,0
701291290,0
701291293,0
701291295,0
701291303,0
701291304,0
701291305,0
701291306,0
701291309,0
701291311,0
701291313,0
701291318,0
701291329,0
701291331,0
701291335,0
701291336,0
701291344,0
701291347,0
701291348,0
701291352,0
701291354,0
701291356,0
701291358,0
701291359,0
701291360,0
701291363,0
701291365,0
701291368,0
701291384,0
701291386,0
701291388,0.00370600751693951
701291400,0
701291404,0
701291408,0
701291410,0
701291412,0
701291418,0
701291433,0
701291437,0
701291443,0
701291446,0
701291448,0
701291450,0.00370600751693951
701291453,0
701291462,0
701291465,0
701291472,0
701291476,0
701291477,0
701291483,0
701291485,0
701291490,0
701291496,0
701291499,0
701291504,0
701291507,0
701291510,0
701291511,0
701291519,0
701291521,0
701291523,0
701291524,0
701291529,0
701291530,0
701291533,0
701291534,0
701291536,0
701291546,0
701291548,0
701291553,0.00348175551695044
701291555,0
701291560,0
701291562,0
701291565,0
701291567,0
701291569,0
701291574,0
701291576,0
701291577,0
701291578,0
701291579,0
701291588,0
701291593,0
701291595,0
701291599,0
701291600,0
701291602,0
701291604,0
701291607,0
701291608,0
701291610,0
701291612,0
701291614,0
701291617,0
701291620,0
701291623,0
701291625,0
701291629,0
701291631,0.00260198764246573
701291632,0
701291634,0
701291644,0
701291646,0
701291648,0
701291650,0
701291654,0
701291661,0
701291662,0
701291666,0
701291668,0
701291673,0.138711004887211
701291675,0
701291683,0
701291693,0.0246814047149098
701291694,0
701291696,0
701291700,0
701291702,0
701291703,0
701291708,0
701291711,0
701291713,0
701291719,0
701291722,0
701291723,0
701291725,0
701291727,0
701291728,0
701291730,0
701291732,0
701291734,0
701291735,0
701291737,0
701291739,0
701291743,0.138711004887211
701291745,0
701291747,0
701291751,0
701291754,0
701291766,0
701291767,0
701291769,0
701291787,0
701291795,0
701291801,0
701291805,0
701291810,0
701291814,0
701291816,0
701291819,0
701291821,0
701291828,0
701291830,0
701291853,0
701291855,0
701291856,0
701291874,0.00257411822003695
701291879,0.138711004887211
701291880,0
701291881,0
701291883,0
701291885,0.026833773238254
701291886,0
701291887,0
701291897,0
701291899,0
701291900,0
701291905,0
701291907,0
701291909,0
701291910,0
701291911,0
701291918,0
701291919,0
701291923,0
701291925,0
701291931,0
701291939,0
701291940,0
701291942,0
701291949,0
701291961,0
701291963,0
701291971,0
701291978,0.138711004887211
701291980,0.0025119619812359
701291983,0
701291989,0
701291995,0
701291997,0
701291999,0
701292004,0
701292005,0
701292007,0
701292013,0
701292015,0
701292017,0
701292021,0
701292033,0
701292036,0
701292039,0
701292041,0
701292049,0
701292051,0
701292054,0
701292056,0
701292063,0.138711004887211
701292069,0
701292070,0
701292074,0.0025119619812359
701292076,0
701292086,0.00249745278548352
701292089,0
701292096,0
701292107,0
701292110,0
701292112,0
701292118,0
701292126,0
701292129,0
701292131,0
701292134,0
701292135,0
701292136,0
701292137,0
701292145,0
701292147,0
701292148,0.138711004887211
701292150,0
701292151,0
701292154,0
701292157,0
701292159,0
701292162,0
701292164,0
701292165,0
701292166,0
701292167,0
701292168,0
701292170,0
701292172,0
701292174,0
701292175,0.0028420073126474
701292182,0
701292184,0
701292186,0
701292197,0.0028420073126474
701292200,0
701292203,0
701292205,0
701292208,0
701292210,0
701292216,0
701292218,0
701292219,0
701292228,0
701292232,0
701292236,0
701292237,0
701292239,0.0028420073126474
701292240,0
701292246,0
701292248,0
701292252,0.00249745278548352
701292254,0
701292259,0
701292260,0
701292262,0
701292274,0
701292276,0
701292280,0.0028420073126474
701292285,0
701292289,0.00248904908875209
701292292,0.00919393427286029
701292298,0
701292301,0
701292305,0.0028297031890073
701292306,0
701292311,0
701292314,0.00258873844776261
701292320,5.63568236775061e-05
701292325,0
701292327,0
701292328,0
701292329,0
701292331,0
701292337,0
701292343,0
701292347,0
701292349,0
701292353,0
701292357,0
701292360,0
701292361,0
701292364,0.00236061119692185
701292369,0
701292370,0.00236061119692185
701292371,0.00236061119692185
701292372,0.00236061119692185
701292377,0
701292379,0
701292382,0
701292385,0
701292389,0
701292390,0
701292395,0
701292396,0
701292397,0.00939879825789231
701292398,0
701292399,0
701292401,0.015222347755313
701292417,0
701292431,0
701292432,0
701292433,0.000279236432939056
701292438,0
701292439,0
701292441,0
701292444,0
701292446,0
701292449,0
701292452,0
701292453,0
701292454,0
701292457,0
701292460,0
701292462,0
701292466,0
701292467,0
701292469,0
701292478,0
701292482,0
701292502,0
701292504,0
701292513,0.015222347755313
701292514,0
701292518,0.138711004887211
701292521,0
701292523,0
701292535,0.138711004887211
701292537,0.015222347755313
701292540,0
701292552,0
701292560,0
701292561,0
701292565,0.00919393427286029
701292572,0
701292574,0.00939879825789231
701292579,0
701292581,0.0103466435090379
701292583,0
701292586,0.00919393427286029
701292587,0
701292593,0.00919393427286029
701292595,0.00236061119692185
701292600,0
701292612,0.00236061119692185
701292614,0
701292621,0.0101164095509287
701292622,0.00939879825789231
701292624,0
701292626,0
701292630,0
701292637,0.00919393427286029
701292644,0
701292645,0.00872388239156982
701292648,0
701292649,0
701292652,0.608539448784114
701292657,0
701292660,0.000279236432939056
701292664,0
701292666,0
701292668,0
701292671,0
701292676,0
701292681,0
701292683,0
701292684,0.0127760295342911
701292685,0.608539448784114
701292686,0
701292688,0
701292696,0.00236061119692185
701292699,0.00236061119692185
701292703,0
701292706,0
701292715,0.0206433946566228
701292720,0
701292722,0
701292726,0
701292728,0
701292730,0.00919393427286029
701292732,0.0231860304423799
701292733,0.00253909205959948
701292742,0
701292744,0
701292746,0
701292753,0
701292756,0.00919393427286029
701292764,0
701292774,0
701292776,0
701292781,0
701292783,0
701292785,0
701292788,0
701292790,0
701292792,0
701292793,0.00795390180575656
701292800,0
701292805,0
701292807,0
701292814,0
701292816,0
701292818,0
701292821,0
701292822,0
701292828,0
701292841,0
701292844,0.0101494595102686
701292846,0.0141594714498551
701292857,0.0138133436616869
701292858,0
701292860,0
701292862,0
701292865,0
701292869,0
701292872,0.000629657453219191
701292879,0
701292883,0
701292887,0
701292892,0.0524628784222022
701292894,0
701292901,0
701292903,0
701292904,0.0101494595102686
701292907,0
701292916,0
701292917,0
701292918,0
701292920,0
701292923,0.0115270591907636
701292924,0.0108836073961876
701292926,0.00444670638536205
701292927,0.0120690350707154
701292930,0
701292932,0
701292935,0
701292941,0
701292948,0
701292949,0
701292951,0
701292953,0
701292960,0.0101494595102686
701292962,0.0101494595102686
701292969,0
701292972,0
701292976,0.0137688131114224
701292977,0.0524628784222022
701292980,0
701292983,0.00919393427286029
701292986,0.0045186754803907
701292988,0.0101494595102686
701292989,0.0127300784161385
701292991,0
701293012,0
701293015,0.0081380967829558
701293017,0.0080336244888058
701293020,0.000629657453219191
701293022,0
701293027,0.00602192285282675
701293029,0
701293034,0.00263784334875536
701293036,0
701293038,0
701293041,0
701293048,0
701293055,0.000629657453219191
701293058,0.0298008572127692
701293066,0.0197180735105034
701293067,0.0129768178029812
701293072,0.0285609809160942
701293073,0.00263784334875536
701293074,0.028215392374689
701293076,0.0280113066656047
701293079,0
701293082,0
701293088,0
701293089,0
701293091,0.0197180735105034
701293093,0
701293097,0
701293099,0.0197180735105034
701293100,0
701293102,0.0133909699781388
701293103,0
701293106,0
701293108,0
701293116,0
701293122,0
701293125,0
701293127,0
701293129,0
701293131,0
701293134,0
701293137,0
701293138,0
701293140,0.0135383366588397
701293142,0
701293145,0
701293149,0
701293153,0.0185163232738055
701293154,0.013869688578385
701293157,0.0144948753548945
701293159,0
701293163,0
701293164,0.0144948753548945
701293166,0
701293168,0
701293169,0.0144948753548945
701293170,0.0166921665149481
701293172,0.0185163232738055
701293173,0.000629657453219191
701293177,0
701293179,0.0164290324744979
701293191,0.00698250344787967
701293197,0.0166921665149481
701293205,0
701293207,0
701293208,0
701293210,0.0280113066656047
701293215,0
701293217,0.0161067521052369
701293219,0
701293221,0
701293223,0
701293226,0
701293229,0.000629657453219191
701293230,0.000629657453219191
701293232,0
701293241,0
701293245,0
701293248,0.0280113066656047
701293250,0
701293253,0.00686739252223973
701293255,0
701293259,0.021308321364296
701293262,0
701293264,0.0081380967829558
701293266,0
701293270,0.021308321364296
701293272,0
701293283,0.0224289572480087
701293286,0
701293287,0
701293289,0
701293291,0
701293293,0
701293295,0
701293298,0.0280113066656047
701293302,0
701293304,0
701293305,0
701293306,0
701293307,0.00574425567044568
701293310,0
701293323,0
701293326,0.00574425567044568
701293328,0
701293332,0
701293336,0
701293343,0
701293358,0
701293360,0
701293369,0
701293371,0.0152442487563426
701293373,0.00529798313690349
701293375,0
701293377,0
701293394,0
701293395,0
701293398,0.0280113066656047
701293415,0
701293427,0
701293429,0.0280113066656047
701293431,0
701293435,0.0224289572480087
701293437,0
701293449,0
701293452,0
701293466,0
701293476,0
701293483,0.0308477596715904
701293492,0
701293494,0
701293495,0
701293498,0
701293500,0
701293505,0.0268733602170012
701293514,0
701293518,0
701293523,0
701293524,0.0386793039232582
701293525,0
701293529,0
701293531,0.0081380967829558
701293532,0
701293537,0.536346310704871
701293540,0.536346310704871
701293542,0
701293547,0
701293552,0.0308477596715904
701293558,0
701293562,0.0386793039232582
701293564,0.0308477596715904
701293566,0.0081380967829558
701293572,0.536346310704871
701293574,0
701293578,0
701293585,0
701293587,0
701293595,0
701293605,0
701293606,0
701293614,0
701293617,0
701293619,0
701293624,0
701293635,0
701293637,0
701293639,0
701293640,0
701293641,0
701293647,0.536346310704871
701293651,0
701293653,0
701293659,0.00831550374861783
701293661,0.536346310704871
701293662,0
701293666,0.0386793039232582
701293676,0
701293678,0
701293681,0
701293684,0
701293686,0.00529798313690349
701293694,0
701293696,0
701293704,0
701293705,0
701293709,0
701293714,0
701293717,0
701293720,0
701293725,0
701293732,0
701293738,0
701293740,0
701293743,0
701293745,0
701293748,0
701293749,0
701293752,0
701293754,0
701293755,0
701293757,0
701293760,0
701293763,0
701293764,0
701293766,0
701293770,0
701293771,0
701293780,0
701293782,0
701293783,0
701293784,0
701293788,0
701293799,0
701293803,0
701293805,0
701293809,0.0530798844641055
701293811,1.51516365153335e-05
701293812,0
701293817,0
701293819,0
701293821,0.0249613470426049
701293826,0.0268733602170012
701293827,0
701293829,0
701293832,0
701293833,0
701293834,0.0530798844641055
701293839,0
701293847,0.0257197840072551
701293851,0
701293852,0
701293853,0
701293855,0
701293857,0.0104898182715475
701293860,0
