"rid","us_strm_crossings"
701288865,7.07388639679408e-06
701288867,0
701288875,0
701288879,3.83713419733943e-06
701288881,3.09460954364128e-06
701288895,3.09580392641502e-06
701288897,0
701288919,0
701288921,0
701288933,1.47016562440244e-06
701288935,0
701288944,0
701288946,0
701288956,0
701288958,0
701288963,0
701288965,0
701288971,2.63561207992245e-06
701288973,0
701288975,0
701288977,0
701288983,0
701288985,0
701288992,8.47754025993725e-06
701288994,1.20209927216768e-06
701288996,0
701288998,1.04609437558238e-06
701289005,9.80380766376092e-07
701289007,0
701289018,1.42197388132196e-06
701289020,0
701289021,8.47754025993725e-06
701289028,0
701289031,2.2119916384973e-06
701289036,8.43518243373177e-07
701289038,0
701289045,0
701289047,0
701289052,2.2119916384973e-06
701289054,1.51209072689764e-06
701289065,8.47754025993725e-06
701289069,2.01317840902074e-06
701289073,2.35754401267267e-06
701289075,2.01183860358575e-06
701289083,3.05502516415063e-06
701289085,8.47754025993725e-06
701289088,0
701289089,2.14412817759942e-06
701289094,2.35754401267267e-06
701289096,0
701289100,0
701289103,1.51209072689764e-06
701289105,2.01317840902074e-06
701289106,1.52517696314803e-06
701289107,2.14412817759942e-06
701289109,0
701289111,0
701289118,8.04424527286244e-07
701289120,0
701289130,1.52517696314803e-06
701289136,1.21870527401154e-06
701289139,1.95907729570017e-06
701289141,0
701289143,1.47712459329575e-06
701289151,1.64373410502674e-06
701289154,0
701289157,2.35669948424929e-06
701289159,2.26271390003145e-06
701289160,1.21870527401154e-06
701289164,0
701289165,1.64373410502674e-06
701289175,0
701289176,0
701289178,1.21870527401154e-06
701289181,0
701289190,0
701289191,1.64373410502674e-06
701289193,0
701289196,1.05174523814011e-06
701289200,1.05174523814011e-06
701289217,1.95907729570017e-06
701289219,1.64373410502674e-06
701289224,0
701289226,1.05174523814011e-06
701289232,1.95907729570017e-06
701289246,8.88020497880199e-07
701289249,1.05174523814011e-06
701289250,1.21870527401154e-06
701289262,3.13278697866766e-06
701289263,8.58633896246875e-06
701289266,1.05174523814011e-06
701289271,1.83677671998345e-06
701289272,1.05174523814011e-06
701289277,1.95860321094954e-06
701289283,1.95907729570017e-06
701289285,1.95907729570017e-06
701289288,1.76118630272996e-06
701289290,4.70292793156486e-06
701289293,1.5582159569403e-06
701289295,1.5582159569403e-06
701289298,8.88020497880199e-07
701289306,3.30402788574689e-06
701289312,9.26354668040841e-07
701289317,1.96242724781283e-06
701289319,2.21128469917701e-06
701289320,3.13278697866766e-06
701289324,4.61799607056451e-07
701289326,1.5582159569403e-06
701289335,1.89331392567155e-06
701289337,6.66063961373555e-06
701289340,3.30402788574689e-06
701289342,1.77256441236991e-06
701289343,8.58988189565225e-07
701289344,2.77607570021974e-06
701289348,3.13278697866766e-06
701289351,2.77607570021974e-06
701289355,6.86240821434655e-06
701289363,1.77256441236991e-06
701289375,1.77256441236991e-06
701289381,3.13278697866766e-06
701289383,0
701289387,8.88020497880199e-07
701289390,3.13278697866766e-06
701289392,1.77256441236991e-06
701289399,8.88020497880199e-07
701289402,2.77607570021974e-06
701289404,3.30402788574689e-06
701289406,0
701289408,2.00943572992969e-06
701289415,1.06225934369836e-06
701289416,1.79162145386306e-06
701289418,1.51296373019437e-06
