"rid","us_vri_non_forested"
701288865,0
701288867,0
701288875,0.0121798213962066
701288879,0
701288881,0
701288895,0
701288897,0
701288919,0
701288921,0.0121798213962066
701288933,0
701288935,0
701288944,0
701288946,0
701288956,0
701288958,0
701288963,0.00515519537296763
701288965,0
701288971,0
701288973,0
701288975,0
701288977,0
701288983,0
701288985,0
701288992,0.934843395802667
701288994,0
701288996,0
701288998,0
701289005,0
701289007,0
701289018,0.331173323799505
701289020,0
701289021,0.934843395802667
701289028,0
701289031,0
701289036,0
701289038,0
701289045,0.0447089661299927
701289047,0
701289052,0
701289054,0
701289065,0.934843395802667
701289069,0.00494078682344107
701289073,0
701289075,0.00581348971196115
701289083,0.00942494665439934
701289085,0.934843395802667
701289088,0.0447089661299927
701289089,0
701289094,0
701289096,0
701289100,0.0447089661299927
701289103,0
701289105,0.00494078682344107
701289106,0.00107465860134211
701289107,0
701289109,0.0447089661299927
701289111,0.0447089661299927
701289118,0
701289120,0
701289130,0.00107465860134211
701289136,0
701289139,0.00442779590341565
701289141,0.00383370770554125
701289143,0
701289151,0.00111414208582708
701289154,0.0447089661299927
701289157,0
701289159,2.76264714913805e-05
701289160,0
701289164,0
701289165,0.00111414208582708
701289175,0.0599150150505895
701289176,0.039122315066369
701289178,0
701289181,0.0599150150505895
701289190,0.0599150150505895
701289191,0.00111414208582708
701289193,0.0579521385078815
701289196,0.0541766117137697
701289200,0.0541766117137697
701289217,0.00442779590341565
701289219,0.00111414208582708
701289224,0
701289226,0.0541766117137697
701289232,0.00442779590341565
701289246,0
701289249,0.0541766117137697
701289250,0
701289262,0.0190683640426345
701289263,0
701289266,0.0541766117137697
701289271,0.00973555549963582
701289272,0.0541766117137697
701289277,0.00464516602837701
701289283,0.00442779590341565
701289285,0.00442779590341565
701289288,0
701289290,0
701289293,8.93363218907735e-07
701289295,8.93363218907735e-07
701289298,0
701289306,0
701289312,0.00125744911307553
701289317,0
701289319,0
701289320,0.0190683640426345
701289324,0.002799502366369
701289326,8.93363218907735e-07
701289335,0.0422966608928884
701289337,0
701289340,0
701289342,0.00881611355837351
701289343,0
701289344,0.0216913428274141
701289348,0.0190683640426345
701289351,0.0216913428274141
701289355,0
701289363,0.00881611355837351
701289375,0.00881611355837351
701289381,0.0190683640426345
701289383,0
701289387,0
701289390,0.0190683640426345
701289392,0.00881611355837351
701289399,0
701289402,0.0216913428274141
701289404,0
701289406,0
701289408,0
701289415,0
701289416,0.00906772302735373
701289418,0.00562972245338665
701289424,0.00562972245338665
701289426,0
701289427,0
701289430,0
701289432,0.0013684274283888
701289433,0
701289435,0
701289440,0.0151074131207829
701289446,0
701289448,0.00562972245338665
701289455,0.00515308472485275
701289459,0
701289461,0.00515308472485275
701289469,0
701289476,0.000208442146257235
701289480,0
701289488,0.00270547756499156
701289490,0.00243252350089905
701289491,0
701289496,0.00243252350089905
701289500,0.00243252350089905
701289501,0
701289509,0
701289511,0.000223153977108047
701289513,0
701289515,0
701289520,0
701289522,0
701289525,0.0151074131207829
701289529,0.00243252350089905
701289533,0
701289541,0.0151074131207829
701289542,0.00243037950794526
701289543,0.00243252350089905
701289545,0.0028553417981443
701289552,0.00243252350089905
701289553,0.000240977728548116
701289563,0
701289567,0
701289569,0
701289571,0.00282154921108705
701289575,0
701289577,0.00282154921108705
701289585,0
701289591,0
701289596,0
701289607,0.00117033121177884
701289611,0
701289616,0
701289621,0.00117033121177884
701289623,0.00248904223517111
701289624,0.00221577749839169
701289625,0
701289629,0.00250569038970665
701289635,0.00250569038970665
701289641,0.00259262449250416
701289647,0.00250569038970665
701289652,0.00259262449250416
701289657,0
701289659,0
701289664,0
701289666,0
701289672,0
701289675,0.00194633231100924
701289680,0.00194633231100924
701289685,0.00194633231100924
701289687,0.00923295812082959
701289688,0
701289691,0
701289692,0
701289693,0.00923295812082959
701289700,0.00199130175445085
701289702,0.00923295812082959
701289707,0
701289711,0
701289712,0.000255072423597536
701289717,0
701289719,0
701289720,0.00923295812082959
701289726,0
701289728,0
701289730,0
701289731,0
701289741,0.00923295812082959
701289743,0
701289745,0
701289747,0
701289753,0
701289767,0.00192065187451546
701289773,0
701289775,0
701289778,0
701289780,0.000258778793105585
701289782,0
701289785,0.00192065187451546
701289786,0
701289789,0.00923295812082959
701289793,0
701289794,0.00923295812082959
701289795,0
701289797,0
701289804,0
701289806,0.00172927977488516
701289808,0
701289815,0.00923295812082959
701289819,0.00923295812082959
701289822,0
701289826,0
701289827,0
701289828,0
701289831,0
701289832,0
701289841,0
701289843,0
701289848,0.00175827760153639
701289853,0
701289855,0.00175827760153639
701289858,0.00923295812082959
701289861,0.00175827760153639
701289867,0
701289869,0.00187185310179849
701289870,0
701289872,0
701289876,0
701289878,0.0017145354511319
701289886,0
701289888,0
701289894,0
701289897,0
701289904,0.0017145354511319
701289908,0.000275379566137805
701289913,0
701289920,0
701289925,0
701289928,0
701289934,0
701289937,0
701289938,0
701289943,0.0017145354511319
701289945,0
701289946,0
701289950,0
701289954,0
701289955,0
701289957,0.000344728218847509
701289958,0
701289963,0
701289964,0
701289967,0
701289969,0
701289971,0
701289974,0
701289975,0
701289976,0
701289978,0
701289988,0
701289996,0
701289999,0
701290002,0
701290004,0
701290007,0.00164986492077154
701290015,0.00039796769512742
701290017,0
701290024,0.00137033510028119
701290027,0.00137033510028119
701290028,0.00164986492077154
701290030,0
701290032,0.00137033510028119
701290035,0.00137033510028119
701290039,0
701290041,0
701290046,0.00163911322974938
701290049,0.000421640629526432
701290052,0
701290056,0
701290058,0
701290062,0.00163244918340048
701290063,0
701290065,0
701290067,0
701290069,0
701290071,0
701290075,0.00137033510028119
701290077,0
701290079,0
701290087,0
701290092,0.00137033510028119
701290098,0
701290100,0
701290101,0
701290102,0
701290103,0.00162708991774318
701290109,0.00161095215879595
701290113,0.0190903607235134
701290115,0.0190903607235134
701290117,0
701290121,230.710246471625
701290122,0
701290124,0.00161038208638623
701290126,0
701290127,0
701290129,0
701290130,0
701290132,0.00105245021165912
701290136,0
701290138,0.00105245021165912
701290139,0
701290140,0.0668540035154598
701290150,0
701290166,0.0016096929181661
701290167,0
701290169,0
701290171,0.00105245021165912
701290174,0
701290178,0
701290183,0
701290190,0
701290200,0.00160954448608701
701290209,0.000741377379113382
701290212,0
701290215,0
701290218,0
701290219,0.00105245021165912
701290221,0.00160810305221658
701290225,0.00137033510028119
701290227,0
701290228,0
701290231,0.0485326385690831
701290233,0.00137033510028119
701290235,0.00155673099778926
701290240,0
701290248,0
701290250,0.00155673099778926
701290256,0
701290261,0.253718812537055
701290265,230.710246471625
701290268,0
701290272,0.00351850376634291
701290280,0.521591367913576
701290282,0
701290287,0.0271181444434053
701290289,0
701290291,0.00168547818233891
701290292,0.0271181444434053
701290293,0.206567690608883
701290296,0
701290298,0
701290301,0.0236673701338088
701290304,0.00137033510028119
701290307,0.0155541630903659
701290308,0
701290310,0
701290311,0
701290317,0.253718812537055
701290323,0.0271181444434053
701290326,0.0155541630903659
701290327,0.253718812537055
701290328,0.0641038620446025
701290330,0.0187800516386421
701290331,0.00301769258421697
701290332,0.0337346025402939
701290334,0.017268061625782
701290340,0.00165708951367154
701290344,0
701290347,0.0238753876272484
701290354,0.0485326385690831
701290356,0.00748957837515374
701290357,0.00383193034065051
701290359,0
701290366,0
701290369,0
701290374,0.0105288520571732
701290375,0
701290376,0
701290377,0.00536275129620037
701290384,0.00102620081699081
701290385,0.00137033510028119
701290387,0
701290390,0
701290396,0
701290403,0
701290404,0
701290406,0
701290411,0
701290423,0
701290425,0
701290436,0
701290438,0
701290440,0
701290449,0
701290451,0
701290452,0
701290454,0
701290457,0
701290462,0
701290464,0
701290471,0.00115912003327452
701290475,0
701290476,0.0011569677953892
701290485,0
701290486,0
701290489,0
701290490,0.00112446547624847
701290492,0
701290496,0.0223799319162823
701290499,0
701290506,0.00111006899364264
701290513,0.00110069850752489
701290515,0
701290518,0
701290520,0
701290522,0
701290531,0
701290535,0.00110069850752489
701290541,0
701290542,0
701290544,0
701290545,0
701290549,0
701290551,0
701290555,0
701290557,0
701290560,0
701290563,0
701290567,0
701290571,0
701290579,0
701290580,0.00110069850752489
701290582,0
701290583,0.00110069850752489
701290588,0
701290597,0.00052440522349167
701290598,0
701290600,0.00110069850752489
701290607,0.00118783789453167
701290617,0
701290619,0
701290620,0.00164243943573702
701290622,0.00118783789453167
701290623,0.00101850977152709
701290627,0
701290633,0
701290635,0.00163315326502084
701290637,0
701290640,0.00118783789453167
701290647,0
701290649,0
701290652,0
701290654,0
701290656,0
701290658,0.00188083872839111
701290661,0.00188083872839111
701290679,0.00118783789453167
701290691,0
701290695,0
701290696,0
701290703,9.92112987589814e-06
701290706,0
701290710,0
701290711,0.00162511466003751
701290728,5.82460647799657e-08
701290734,0
701290738,0
701290740,0
701290755,0
701290757,0
701290758,0
701290765,0
701290767,0.00162511466003751
701290771,0
701290784,0.194495953835209
701290785,5.82460647799657e-08
701290787,0
701290789,0
701290791,0.00222141231403884
701290793,0.0323135376675006
701290795,0
701290799,0.0323135376675006
701290802,0.0110439905230815
701290804,0
701290808,0
701290809,0.216004244914593
701290817,0
701290819,0
701290821,0.00160509488425557
701290831,0
701290834,0
701290835,0
701290837,0
701290838,0
701290844,0
701290845,0.162482136260224
701290847,0
701290856,0
701290861,0
701290865,0
701290867,0
701290868,0
701290875,0
701290880,0
701290882,0
701290888,0.00160509488425557
701290890,0
701290892,0
701290901,0.0110439905230815
701290905,4.74205842749069e-07
701290908,0
701290911,0
701290913,0.00118783789453167
701290914,0.0110439905230815
701290916,0
701290919,0.00069986290973751
701290923,4.74205842749069e-07
701290934,0
701290947,0.00500150201701196
701290950,0
701290956,0
701290959,0
701290961,0
701290963,0.00910908100690291
701290964,0
701290966,0
701290969,0
701290971,0
701290976,0.00435751873166495
701290977,0
701290981,0
701290985,0.00117056640379925
701290992,0.000105685855297751
701290996,0
701290998,0.00910908100690291
701291001,0
701291005,0
701291007,0
701291013,0.00747834135116316
701291017,0.00118461186994468
701291028,0.0294735046523731
701291029,0.0122884142575103
701291030,0
701291034,0.121439750229923
701291038,0
701291039,0.00747834135116316
701291040,0.0423395021756136
701291041,0
701291044,0
701291048,0
701291052,0
701291054,0
701291055,0.0294735046523731
701291062,0
701291069,0.0294735046523731
701291077,0
701291079,0
701291081,0.00495820616463767
701291089,0.0294735046523731
701291094,0
701291097,0.0294735046523731
701291105,0.00744567701770397
701291110,0
701291113,0.0294735046523731
701291116,0
701291117,0
701291123,0
701291125,0.00782635647421935
701291131,0
701291133,0
701291138,0.00495820616463767
701291143,0
701291144,0.00782635647421935
701291146,0
701291148,0
701291152,0.0471278484528321
701291155,0.121439750229923
701291156,0
701291158,0
701291173,0.0294735046523731
701291178,0
701291181,0
701291183,0.021862514038125
701291193,0.021862514038125
701291195,0.00495820616463767
701291196,0.00160509488425557
701291198,0
701291199,0.0203626622181896
701291200,0
701291207,0.00738540865791963
701291208,0
701291212,0.0190577565942047
701291217,0
701291219,0.00329617784673008
701291225,0
701291229,0
701291230,0.00329617784673008
701291236,0.00495820616463767
701291237,0.021862514038125
701291239,0
701291247,0.00669763538168443
701291251,0.00118783789453167
701291253,0
701291257,0
701291259,0
701291266,0.031398295208673
701291268,0
701291274,0.0168365930887133
701291277,0
701291287,0.016416225624134
701291290,0.016471834275717
701291293,0
701291295,0
701291303,0.0336744594216109
701291304,0.016471834275717
701291305,0
701291306,0
701291309,0.00720366150561038
701291311,0
701291313,0
701291318,0
701291329,0
701291331,0.0147252352827351
701291335,0
701291336,0.0129441218244875
701291344,0.0129441218244875
701291347,0.00329617784673008
701291348,0
701291352,0
701291354,0.016416225624134
701291356,0
701291358,0.00834905569590322
701291359,0.00938268323293378
701291360,0.00834905569590322
701291363,0
701291365,0.00495820616463767
701291368,0
701291384,0
701291386,0
701291388,0.00159070665638269
701291400,0.00834905569590322
701291404,0
701291408,0.00834905569590322
701291410,0
701291412,0
701291418,0
701291433,0
701291437,0.0305074175965773
701291443,0.016416225624134
701291446,0.0792376537032938
701291448,0.00438715838609756
701291450,0.00159070665638269
701291453,0
701291462,0
701291465,0
701291472,0.016416225624134
701291476,0
701291477,0
701291483,0.0792376537032938
701291485,0
701291490,0.0707909739082192
701291496,0
701291499,0
701291504,0.00780061070029133
701291507,0
701291510,0
701291511,0
701291519,0.00174858406687448
701291521,0
701291523,0
701291524,0.016416225624134
701291529,0.00495820616463767
701291530,0.00989399371887456
701291533,0
701291534,0.00495820616463767
701291536,0
701291546,0.0707909739082192
701291548,0
701291553,0.00175558046554403
701291555,0.00495820616463767
701291560,0
701291562,0
701291565,0.00468721063855848
701291567,0
701291569,0.014202946417815
701291574,0
701291576,0.00468196216757613
701291577,0
701291578,0.365940608660401
701291579,0.016416225624134
701291588,0.014202946417815
701291593,0
701291595,0.0101925989227224
701291599,0.0202833456650094
701291600,0
701291602,0
701291604,0
701291607,0.00881671019037062
701291608,0
701291610,0
701291612,0.00881671019037062
701291614,0.00468196216757613
701291617,0
701291620,0
701291623,0.0573517588256442
701291625,0
701291629,0
701291631,0.00246251128912892
701291632,0.00780061070029133
701291634,0
701291644,0
701291646,0.00881671019037062
701291648,0
701291650,0
701291654,0.00651361073323189
701291661,0
701291662,0.00473695099154959
701291666,0.00118783789453167
701291668,0.00708888862018796
701291673,0.00971501432775037
701291675,0.0170403413962757
701291683,0.0305074175965773
701291693,0
701291694,0
701291696,0
701291700,0
701291702,0
701291703,0
701291708,0.0208042966066487
701291711,0.0227257558178371
701291713,0.0170403413962757
701291719,0
701291722,0
701291723,0.00591658281670864
701291725,0
701291727,0
701291728,0.00468196216757613
701291730,0
701291732,0
701291734,0.014202946417815
701291735,0
701291737,0
701291739,0
701291743,0.00971501432775037
701291745,0
701291747,0.00621733749419923
701291751,0.0410306912442406
701291754,0
701291766,0.0447666189082525
701291767,0
701291769,0
701291787,0
701291795,0
701291801,0.0101925989227224
701291805,0.00567436306059069
701291810,0
701291814,0
701291816,0
701291819,0
701291821,0
701291828,0
701291830,0.0447666189082525
701291853,0
701291855,0
701291856,0
701291874,0.00243613577287652
701291879,0.00971501432775037
701291880,0.00708888862018796
701291881,0
701291883,0
701291885,0
701291886,0.00385211982457132
701291887,0
701291897,0
701291899,0
701291900,0.0447666189082525
701291905,1.44947162392775e-07
701291907,0
701291909,0
701291910,0
701291911,0
701291918,0.060264187589317
701291919,1.44947162392775e-07
701291923,0.00621229659928262
701291925,0
701291931,0
701291939,0.00708888862018796
701291940,0.0054161853896925
701291942,0.0170403413962757
701291949,0
701291961,0.0447666189082525
701291963,0
701291971,0
701291978,0.00971501432775037
701291980,0.00246192840479641
701291983,0.0658871841031286
701291989,0.0588304712831193
701291995,0
701291997,0
701291999,0.0320507436730146
701292004,0.156494576447099
701292005,0.00558310922083526
701292007,0.00526799013871655
701292013,1.41468142647843e-10
701292015,0.0320507436730146
701292017,0
701292021,0
701292033,0.0267204711597187
701292036,0.156494576447099
701292039,0
701292041,0
701292049,0
701292051,0.00708888862018796
701292054,0.156494576447099
701292056,0
701292063,0.00971501432775037
701292069,0
701292070,0.00692296092736174
701292074,0.00246192840479641
701292076,0
701292086,0.00244770820504006
701292089,0
701292096,0.00552018865298885
701292107,0
701292110,0.00503099372074794
701292112,0
701292118,0.00670009504561742
701292126,0.00670009504561742
701292129,0.00444372942122599
701292131,0
701292134,0
701292135,0.00749575010461998
701292136,0
701292137,0.00444372942122599
701292145,0.00607394032750881
701292147,0
701292148,0.00971501432775037
701292150,0.0263909118658092
701292151,0
701292154,0
701292157,0.00492197905322683
701292159,0
701292162,0.0263909118658092
701292164,0.00444372942122599
701292165,0.0255748195470946
701292166,0
701292167,0.00779333277947412
701292168,0
701292170,0.0320620008546274
701292172,0
701292174,0
701292175,0.031071949947894
701292182,0.00721717465094528
701292184,0
701292186,0.045333123146027
701292197,0.031071949947894
701292200,0.045333123146027
701292203,0.00702566155414089
701292205,0
701292208,0
701292210,0
701292216,0
701292218,1.41468142647843e-10
701292219,0
701292228,0
701292232,0.00671134214137029
701292236,0
701292237,0.045333123146027
701292239,0.031071949947894
701292240,1.60542151167752e-06
701292246,0
701292248,0
701292252,0.00244770820504006
701292254,0
701292259,0
701292260,0.0066564325459861
701292262,1.60542151167752e-06
701292274,0
701292276,0
701292280,0.031071949947894
701292285,0
701292289,0.00243947189420297
701292292,0
701292298,0
701292301,0
701292305,0.0324460126389034
701292306,0.0199705226463016
701292311,0.0199705226463016
701292314,0.0326414925852979
701292320,0.0565743684106592
701292325,0
701292327,0.0065487299024748
701292328,0
701292329,0.0199705226463016
701292331,0
701292337,0
701292343,0
701292347,0.00650594422391491
701292349,0
701292353,0
701292357,0
701292360,0
701292361,0.00639530626204588
701292364,0.00774825250450266
701292369,0
701292370,0.00774825250450266
701292371,0.00774825250450266
701292372,0.00774825250450266
701292377,0
701292379,0
701292382,0.00621119602491164
701292385,0.00622089932633034
701292389,1.60542151167752e-06
701292390,0
701292395,0.046733158306201
701292396,0
701292397,0.0506206254380143
701292398,0.015746354754309
701292399,0
701292401,0.0321817179199762
701292417,0
701292431,0
701292432,0.00976388231396418
701292433,8.02088546468502e-09
701292438,0
701292439,0
701292441,0
701292444,0
701292446,0.0053176850189373
701292449,0.00553716571419858
701292452,0.00524867481535723
701292453,0.00506085660324802
701292454,0
701292457,0.00553716571419858
701292460,0
701292462,0
701292466,0
701292467,0
701292469,0
701292478,0
701292482,0
701292502,0.00976388231396418
701292504,0
701292513,0.0321817179199762
701292514,0
701292518,0.00971501432775037
701292521,0
701292523,0
701292535,0.00971501432775037
701292537,0.0321817179199762
701292540,0
701292552,0
701292560,0
701292561,0
701292565,0
701292572,0
701292574,0.0506206254380143
701292579,0
701292581,0
701292583,0
701292586,0
701292587,0
701292593,0
701292595,0.00774825250450266
701292600,0
701292612,0.00774825250450266
701292614,0
701292621,0.0508293466708516
701292622,0.0506206254380143
701292624,0.156494576447099
701292626,0
701292630,0
701292637,0
701292644,0
701292645,0.0419894539022303
701292648,0
701292649,0
701292652,0
701292657,0.024943285278786
701292660,8.02088546468502e-09
701292664,0
701292666,0
701292668,0.0546562982120554
701292671,0
701292676,0
701292681,0
701292683,1.83561211330199e-09
701292684,0.0436000600986589
701292685,0
701292686,0
701292688,0
701292696,0.00774825250450266
701292699,0.00774825250450266
701292703,0.0546562982120554
701292706,0
701292715,0.00686730045806471
701292720,0
701292722,0
701292726,0.0546562982120554
701292728,0
701292730,0
701292732,0.00683049868005926
701292733,0.00243934682770132
701292742,0
701292744,0
701292746,0
701292753,0
701292756,0
701292764,0
701292774,0
701292776,0.024943285278786
701292781,0.00444372942122599
701292783,0
701292785,0
701292788,0
701292790,0.024943285278786
701292792,0
701292793,0.0117977434683095
701292800,0.0332575922395141
701292805,0
701292807,0
701292814,0
701292816,0
701292818,0
701292821,0.0332575922395141
701292822,0
701292828,0.0332575922395141
701292841,0.0546562982120554
701292844,0.0115219413775745
701292846,0.049822058426791
701292857,0.0498153234860206
701292858,0
701292860,0
701292862,0
701292865,0.0332575922395141
701292869,0.0332575922395141
701292872,0.0911590916636467
701292879,0
701292883,0
701292887,0
701292892,0.0249993620043841
701292894,0
701292901,0
701292903,0
701292904,0.0115219413775745
701292907,0.0214332389936113
701292916,0
701292917,0
701292918,0
701292920,0.00481789549372311
